#	0	0
10	-223	19
36.5	-205.5	43
55.8	-181	57.28
68.5	-160	61.09
80.6	-136.5	64
94	-107.8	66.3
103	-85	71
109.6	-63	77
112.6	-48	81
113.8	-38.6	88
113.5	-32	98
111	-24.1	115.6
108.8	-21.4	142
106	-20	164
102.7	-19.6	180
97.2	-21	-153.7
91.5	-24.8	-139
84	-33	-127.85
78.2	-41.2	-122.1
67.5	-60.6	-117
57	-84.8	-110.5
47.8	-113	-104.85
42	-137.5	-100.81
38.7	-156	-97.7
37	-172.6	-94.1
36.2	-189.2	-91.7
36.2	-199	-88.9
37.8	-217.6	-80.9
38.6	-221.9	-78.15
40.4	-228	-66.22
42.8	-231.9	-50.40
45.3	-234	-33.24
48.7	-235	-1.52
52.8	-234.3	18
58	-231.2	37.66
64	-225.4	48.75
70	-217.8	55
77	-207.8	58.4
88	-189.5	57.9
